Roseimicrobium_sp	Unknown
Chimaeribacter_arupi	Unknown
Monaibacterium_sp	Unknown
Rubinisphaera_sp	Unknown
Paenibacillus_aceris	Unknown
Mariprofundus_erugo	Unknown
Planosporangium_thailandense	Unknown
Mobilicoccus_sp	Unknown
Croceicoccus_sediminis	Unknown
Sneathiella_chinensis	Unknown
Rhizobium_ruizarguesonis	Unknown
Saccharibacillus_endophyticus	Unknown
Actinomadura_verrucosospora	Unknown
Candidatus_Reidiella	Unknown
Schlegelella_sp	Unknown
Dickeya_poaceiphila	Unknown
Pusillimonas_maritima	Unknown
Halomonas_salicampi	Unknown
Neobacillus_thermocopriae	Unknown
Parapusillimonas_granuli	Unknown
Janibacter_cremeus	Unknown
Komagataeibacter_sp	Unknown
Tenuifilum_thalassicum	Unknown
Gluconacetobacter_takamatsuzukensis	Unknown
Gracilibacillus_halotolerans	Unknown
Roseospira_goensis	Unknown
Brevundimonas_basaltis	Unknown
Flexivirga_oryzae	Unknown
Massilia_mucilaginosa	Unknown
Protaetiibacter_sp	Unknown
Cellulomonas_telluris	Unknown
Chitinophaga_qingshengii	Unknown
Pseudaminobacter_sp	Unknown
Acinetobacter_modestus	Unknown
Lysinibacillus_alkalisoli	Unknown
Agromyces_bauzanensis	Unknown
Ochrobactrum_endophyticum	Unknown
Microlunatus_endophyticus	Unknown
Roseomonas_lacus	Unknown
Streptomyces_albiflavescens	Unknown
Streptomyces_variabilis	Unknown
Paludibacterium_paludis	Unknown
Novosphingobium_colocasiae	Unknown
Streptomyces_alanosinicus	Unknown
Kluyvera_sichuanensis	Unknown
Aulosira_sp	Unknown
Streptomyces_glomeroaurantiacus	Unknown
Thermoactinomyces_mirandus	Unknown
Candidatus_Pseudoruminococcus	Unknown
Komarekiella_sp	Unknown
Tepiditoga_spiralis	Unknown
Flavimobilis_sp	Unknown
Plantactinospora_soyae	Unknown
Companilactobacillus_furfuricola	Unknown
Paludisphaera_soli	Unknown
Azospirillum_baldaniorum	Unknown
Nonomuraea_nitratireducens	Unknown
Streptomyces_bellus	Unknown
Mucilaginibacter_myungsuensis	Unknown
Adlercreutzia_caecimuris	Unknown
Bombilactobacillus_sp	Unknown
Desulfallas_sp	Unknown
Planomonospora_sp	Unknown
Rhodocytophaga_rosea	Unknown
Alicyclobacillus_sp	Unknown
Parolsenella_massiliensis	Unknown
Tamlana_carrageenivorans	Unknown
Paraurantiacibacter_namhicola	Unknown
Qipengyuania_aquimaris	Unknown
Companilactobacillus_paralimentarius	Unknown
Companilactobacillus_kedongensis	Unknown
Lacticigenium_naphthae	Unknown
Lactiplantibacillus_modestisalitolerans	Unknown
Lentilactobacillus_parafarraginis	Unknown
Sphingomonas_xanthus	Unknown
Kingella_sp	Unknown
Levilactobacillus_huananensis	Unknown
Corynebacterium_durum	Unknown
Empedobacter_brevis	Unknown
Leptospira_kirschneri	Unknown
Marinithermus_hydrothermalis	Unknown
Rubrivivax_gelatinosus	Unknown
Streptococcus_suis	Unknown
Acinetobacter_harbinensis	Unknown
Actinoplanes_awajinensis	Unknown
Acetobacterium_malicum	Unknown
Neorickettsia_findlayensis	Unknown
Altererythrobacter_salegens	Unknown
Sphingosinicella_humi	Unknown
Tropicimonas_sp	Unknown
Vibrio_taketomensis	Unknown
Ruminiclostridium_cellulolyticum	Unknown
Balneicella_halophila	Unknown
Granulicella_sp	Unknown
Winogradskyella_aurantiaca	Unknown
Cysteiniphilum_litorale	Unknown
Pseudidiomarina_taiwanensis	Unknown
Anaerococcus_nagyae	Unknown
Deferribacter_desulfuricans	Unknown
Dysgonomonas_gadei	Unknown
Harryflintia_acetispora	Unknown
Oceanicella_sp	Unknown
Aliikangiella_sp	Unknown
Meiothermus_cateniformans	Unknown
Brachybacterium_endophyticum	Unknown
Pelagivirga_sediminicola	Unknown
Schumannella_luteola	Unknown
Thermohalobacter_berrensis	Unknown
Deinococcus_gobiensis	Unknown
Deinococcus_maricopensis	Unknown
Dermabacter_sp	Unknown
Desulfitobacterium_metallireducens	Unknown
Desulfocapsa_sulfexigens	Unknown
Desulfosporosinus_orientis	Unknown
Desulfovermiculus_halophilus	Unknown
Echinicola_sp	Unknown
Dongia_sp	Unknown
Kitasatospora_herbaricolor	Unknown
Kluyvera_genomosp	Unknown
Larkinella_punicea	Unknown
Oceaniglobus_sp	Unknown
Halocella_sp	Unknown
Aeromicrobium_endophyticum	Unknown
Mycoavidus_cysteinexigens	Unknown
Bacillus_freudenreichii	Unknown
Hymenobacter_aquaticus	Unknown
Aliidiomarina_soli	Unknown
Aliidiomarina_shirensis	Unknown
Azospirillum_doebereinerae	Unknown
Thermosynechococcus_vulcanus	Unknown
Kallotenue_sp	Unknown
Flavipsychrobacter_stenotrophus	Unknown
Erwinia_mediterraneensis	Unknown
Kiloniella_sp	Unknown
Shewanella_schlegeliana	Unknown
Micromonospora_costi	Unknown
Arcobacter_lanthieri	Unknown
Arcobacter_trophiarum	Unknown
Saccharothrix_australiensis	Unknown
Lysinibacillus_endophyticus	Unknown
Saccharothrix_variisporea	Unknown
Chryseobacterium_defluvii	Unknown
Sphingomonas_formosensis	Unknown
Enterococcus_saccharolyticus	Unknown
Enterovibrio_calviensis	Unknown
Erwinia_amylovora	Unknown
Erwinia_sp	Unknown
Erysipelothrix_rhusiopathiae	Unknown
Exiguobacterium_acetylicum	Unknown
Filifactor_alocis	Unknown
Finegoldia_magna	Unknown
Flavobacterium_limnosediminis	Unknown
Fodinicurvata_fenggangensis	Unknown
Frankia_sp	Unknown
Ancylobacter_pratisalsi	Unknown
Gemmatimonas_aurantiaca	Unknown
Gordonia_sp	Unknown
